Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3290000,1.2652256,4.2374153,999.0,47.71814590030246,47.71814590030246,1.0
3300000,1.2652988,4.147851,999.0,43.437066465616226,43.437066465616226,1.0
3310000,1.2654908,4.1652985,999.0,41.616585697978735,41.616585697978735,1.0
3320000,1.2654802,4.187786,999.0,42.568198971947034,42.568198971947034,1.0
3330000,1.2653998,4.1760807,999.0,39.13433161377907,39.13433161377907,1.0
3340000,1.2653712,4.194936,999.0,40.48420071648434,40.48420071648434,1.0
3350000,1.2650224,4.204975,999.0,45.751393899321556,45.751393899321556,1.0
3360000,1.2650224,4.1334596,999.0,40.8414257645607,40.8414257645607,1.0
3370000,1.2646103,4.2040443,999.0,44.977130015691124,44.977130015691124,1.0
3380000,1.2645986,4.2400713,999.0,40.206838849931955,40.206838849931955,1.0
3390000,1.2636201,4.2296195,999.0,43.53349485993385,43.53349485993385,1.0
3400000,1.2634796,4.2392373,999.0,42.53178025285403,42.53178025285403,1.0
3410000,1.2635175,4.3068204,999.0,47.22668022579617,47.22668022579617,1.0
3420000,1.2635334,4.2354836,999.0,45.06829231977463,45.06829231977463,1.0
3430000,1.2633305,4.1476674,999.0,41.282102316617966,41.282102316617966,1.0
3440000,1.2632295,4.1819468,999.0,40.079709055523075,40.079709055523075,1.0
3450000,1.2630912,4.302565,999.0,46.605141169495056,46.605141169495056,1.0
